Points_0,Points_1,Points_2
8.5e-05,0.00022,8.5e-05
9e-05,0.00022,8.5e-05
9.5e-05,0.00022,8.5e-05
0.0001,0.00022,8.5e-05
0.000105,0.00022,8.5e-05
0.00011,0.00022,8.5e-05
0.000115,0.00022,8.5e-05
8.5e-05,0.000225,8.5e-05
9e-05,0.000225,8.5e-05
9.5e-05,0.000225,8.5e-05
0.0001,0.000225,8.5e-05
0.000105,0.000225,8.5e-05
0.00011,0.000225,8.5e-05
0.000115,0.000225,8.5e-05
8.5e-05,0.00023,8.5e-05
9e-05,0.00023,8.5e-05
9.5e-05,0.00023,8.5e-05
0.0001,0.00023,8.5e-05
0.000105,0.00023,8.5e-05
0.00011,0.00023,8.5e-05
0.000115,0.00023,8.5e-05
8.5e-05,0.000235,8.5e-05
9e-05,0.000235,8.5e-05
9.5e-05,0.000235,8.5e-05
0.0001,0.000235,8.5e-05
0.000105,0.000235,8.5e-05
0.00011,0.000235,8.5e-05
0.000115,0.000235,8.5e-05
8.5e-05,0.00024,8.5e-05
9e-05,0.00024,8.5e-05
9.5e-05,0.00024,8.5e-05
0.0001,0.00024,8.5e-05
0.000105,0.00024,8.5e-05
0.00011,0.00024,8.5e-05
0.000115,0.00024,8.5e-05
8.5e-05,0.000245,8.5e-05
9e-05,0.000245,8.5e-05
9.5e-05,0.000245,8.5e-05
0.0001,0.000245,8.5e-05
0.000105,0.000245,8.5e-05
0.00011,0.000245,8.5e-05
0.000115,0.000245,8.5e-05
8.5e-05,0.00025,8.5e-05
9e-05,0.00025,8.5e-05
9.5e-05,0.00025,8.5e-05
0.0001,0.00025,8.5e-05
0.000105,0.00025,8.5e-05
0.00011,0.00025,8.5e-05
0.000115,0.00025,8.5e-05
9e-05,0.000255,8.5e-05
9.5e-05,0.000255,8.5e-05
0.0001,0.000255,8.5e-05
0.000105,0.000255,8.5e-05
0.00011,0.000255,8.5e-05
0.000115,0.000255,8.5e-05
8.5e-05,0.00026,8.5e-05
9e-05,0.00026,8.5e-05
9.5e-05,0.00026,8.5e-05
0.0001,0.00026,8.5e-05
0.000105,0.00026,8.5e-05
0.00011,0.00026,8.5e-05
0.000115,0.00026,8.5e-05
8.5e-05,0.000265,8.5e-05
9e-05,0.000265,8.5e-05
9.5e-05,0.000265,8.5e-05
0.0001,0.000265,8.5e-05
0.000105,0.000265,8.5e-05
0.00011,0.000265,8.5e-05
0.000115,0.000265,8.5e-05
8.5e-05,0.00027,8.5e-05
9e-05,0.00027,8.5e-05
9.5e-05,0.00027,8.5e-05
0.0001,0.00027,8.5e-05
0.000105,0.00027,8.5e-05
0.00011,0.00027,8.5e-05
0.000115,0.00027,8.5e-05
8.5e-05,0.000275,8.5e-05
9e-05,0.000275,8.5e-05
9.5e-05,0.000275,8.5e-05
0.0001,0.000275,8.5e-05
0.000105,0.000275,8.5e-05
0.00011,0.000275,8.5e-05
0.000115,0.000275,8.5e-05
8.5e-05,0.00028,8.5e-05
9e-05,0.00028,8.5e-05
9.5e-05,0.00028,8.5e-05
0.0001,0.00028,8.5e-05
0.000105,0.00028,8.5e-05
0.00011,0.00028,8.5e-05
0.000115,0.00028,8.5e-05
8.5e-05,0.000285,8.5e-05
9e-05,0.000285,8.5e-05
9.5e-05,0.000285,8.5e-05
0.0001,0.000285,8.5e-05
0.000105,0.000285,8.5e-05
0.00011,0.000285,8.5e-05
0.000115,0.000285,8.5e-05
8.5e-05,0.00029,8.5e-05
9e-05,0.00029,8.5e-05
9.5e-05,0.00029,8.5e-05
0.0001,0.00029,8.5e-05
0.000105,0.00029,8.5e-05
0.00011,0.00029,8.5e-05
0.000115,0.00029,8.5e-05
8.5e-05,0.000295,8.5e-05
9e-05,0.000295,8.5e-05
9.5e-05,0.000295,8.5e-05
0.0001,0.000295,8.5e-05
0.000105,0.000295,8.5e-05
0.00011,0.000295,8.5e-05
0.000115,0.000295,8.5e-05
8.5e-05,0.0003,8.5e-05
9e-05,0.0003,8.5e-05
9.5e-05,0.0003,8.5e-05
0.0001,0.0003,8.5e-05
0.000105,0.0003,8.5e-05
0.00011,0.0003,8.5e-05
0.000115,0.0003,8.5e-05
8.5e-05,0.000305,8.5e-05
9e-05,0.000305,8.5e-05
9.5e-05,0.000305,8.5e-05
0.0001,0.000305,8.5e-05
0.000105,0.000305,8.5e-05
0.00011,0.000305,8.5e-05
0.000115,0.000305,8.5e-05
8.5e-05,0.00031,8.5e-05
9e-05,0.00031,8.5e-05
9.5e-05,0.00031,8.5e-05
0.0001,0.00031,8.5e-05
0.000105,0.00031,8.5e-05
0.00011,0.00031,8.5e-05
0.000115,0.00031,8.5e-05
8.5e-05,0.000315,8.5e-05
9e-05,0.000315,8.5e-05
9.5e-05,0.000315,8.5e-05
0.0001,0.000315,8.5e-05
0.000105,0.000315,8.5e-05
0.00011,0.000315,8.5e-05
0.000115,0.000315,8.5e-05
8.5e-05,0.00032,8.5e-05
9e-05,0.00032,8.5e-05
9.5e-05,0.00032,8.5e-05
0.0001,0.00032,8.5e-05
0.000105,0.00032,8.5e-05
0.00011,0.00032,8.5e-05
0.000115,0.00032,8.5e-05
8.5e-05,0.000325,8.5e-05
9e-05,0.000325,8.5e-05
9.5e-05,0.000325,8.5e-05
0.0001,0.000325,8.5e-05
0.000105,0.000325,8.5e-05
0.00011,0.000325,8.5e-05
0.000115,0.000325,8.5e-05
8.5e-05,0.00033,8.5e-05
9e-05,0.00033,8.5e-05
9.5e-05,0.00033,8.5e-05
0.0001,0.00033,8.5e-05
0.000105,0.00033,8.5e-05
0.00011,0.00033,8.5e-05
0.000115,0.00033,8.5e-05
8.5e-05,0.000335,8.5e-05
9e-05,0.000335,8.5e-05
9.5e-05,0.000335,8.5e-05
0.0001,0.000335,8.5e-05
0.000105,0.000335,8.5e-05
0.00011,0.000335,8.5e-05
0.000115,0.000335,8.5e-05
8.5e-05,0.00034,8.5e-05
9e-05,0.00034,8.5e-05
9.5e-05,0.00034,8.5e-05
0.0001,0.00034,8.5e-05
0.000105,0.00034,8.5e-05
0.00011,0.00034,8.5e-05
0.000115,0.00034,8.5e-05
8.5e-05,0.000345,8.5e-05
9e-05,0.000345,8.5e-05
9.5e-05,0.000345,8.5e-05
0.0001,0.000345,8.5e-05
0.000105,0.000345,8.5e-05
0.00011,0.000345,8.5e-05
0.000115,0.000345,8.5e-05
8.5e-05,0.00035,8.5e-05
9e-05,0.00035,8.5e-05
9.5e-05,0.00035,8.5e-05
0.0001,0.00035,8.5e-05
0.000105,0.00035,8.5e-05
0.00011,0.00035,8.5e-05
0.000115,0.00035,8.5e-05
8.5e-05,0.000355,8.5e-05
9e-05,0.000355,8.5e-05
9.5e-05,0.000355,8.5e-05
0.0001,0.000355,8.5e-05
0.000105,0.000355,8.5e-05
0.00011,0.000355,8.5e-05
0.000115,0.000355,8.5e-05
8.5e-05,0.00036,8.5e-05
9e-05,0.00036,8.5e-05
9.5e-05,0.00036,8.5e-05
0.0001,0.00036,8.5e-05
0.000105,0.00036,8.5e-05
0.00011,0.00036,8.5e-05
0.000115,0.00036,8.5e-05
9e-05,0.000365,8.5e-05
9.5e-05,0.000365,8.5e-05
0.0001,0.000365,8.5e-05
0.000105,0.000365,8.5e-05
0.00011,0.000365,8.5e-05
0.000115,0.000365,8.5e-05
9e-05,0.00037,8.5e-05
9.5e-05,0.00037,8.5e-05
0.0001,0.00037,8.5e-05
0.000105,0.00037,8.5e-05
0.00011,0.00037,8.5e-05
0.000115,0.00037,8.5e-05
9e-05,0.000375,8.5e-05
9.5e-05,0.000375,8.5e-05
0.0001,0.000375,8.5e-05
0.000105,0.000375,8.5e-05
0.00011,0.000375,8.5e-05
0.000115,0.000375,8.5e-05
9e-05,0.00038,8.5e-05
9.5e-05,0.00038,8.5e-05
0.0001,0.00038,8.5e-05
0.000105,0.00038,8.5e-05
0.00011,0.00038,8.5e-05
9e-05,0.000385,8.5e-05
9.5e-05,0.000385,8.5e-05
0.0001,0.000385,8.5e-05
0.000105,0.000385,8.5e-05
0.00011,0.000385,8.5e-05
9e-05,0.00039,8.5e-05
9.5e-05,0.00039,8.5e-05
0.0001,0.00039,8.5e-05
0.000105,0.00039,8.5e-05
0.00011,0.00039,8.5e-05
9e-05,0.000395,8.5e-05
9.5e-05,0.000395,8.5e-05
0.0001,0.000395,8.5e-05
0.000105,0.000395,8.5e-05
0.00011,0.000395,8.5e-05
9e-05,0.0004,8.5e-05
9.5e-05,0.0004,8.5e-05
0.0001,0.0004,8.5e-05
0.000105,0.0004,8.5e-05
0.00011,0.0004,8.5e-05
9e-05,0.000405,8.5e-05
9.5e-05,0.000405,8.5e-05
0.0001,0.000405,8.5e-05
0.000105,0.000405,8.5e-05
0.00011,0.000405,8.5e-05
9e-05,0.00041,8.5e-05
9.5e-05,0.00041,8.5e-05
0.0001,0.00041,8.5e-05
0.000105,0.00041,8.5e-05
0.00011,0.00041,8.5e-05
9e-05,0.000415,8.5e-05
9.5e-05,0.000415,8.5e-05
0.0001,0.000415,8.5e-05
0.000105,0.000415,8.5e-05
0.00011,0.000415,8.5e-05
9e-05,0.00042,8.5e-05
9.5e-05,0.00042,8.5e-05
0.0001,0.00042,8.5e-05
0.000105,0.00042,8.5e-05
0.00011,0.00042,8.5e-05
9e-05,0.000425,8.5e-05
9.5e-05,0.000425,8.5e-05
0.0001,0.000425,8.5e-05
0.000105,0.000425,8.5e-05
0.00011,0.000425,8.5e-05
0.000115,0.000425,8.5e-05
9e-05,0.00043,8.5e-05
9.5e-05,0.00043,8.5e-05
0.0001,0.00043,8.5e-05
0.000105,0.00043,8.5e-05
0.00011,0.00043,8.5e-05
0.000115,0.00043,8.5e-05
8.5e-05,0.000435,8.5e-05
9e-05,0.000435,8.5e-05
9.5e-05,0.000435,8.5e-05
0.0001,0.000435,8.5e-05
0.000105,0.000435,8.5e-05
0.00011,0.000435,8.5e-05
0.000115,0.000435,8.5e-05
8.5e-05,0.00044,8.5e-05
9e-05,0.00044,8.5e-05
9.5e-05,0.00044,8.5e-05
0.0001,0.00044,8.5e-05
0.000105,0.00044,8.5e-05
0.00011,0.00044,8.5e-05
0.000115,0.00044,8.5e-05
8.5e-05,0.000445,8.5e-05
9e-05,0.000445,8.5e-05
9.5e-05,0.000445,8.5e-05
0.0001,0.000445,8.5e-05
0.000105,0.000445,8.5e-05
0.00011,0.000445,8.5e-05
0.000115,0.000445,8.5e-05
