iy,width,height,depth,area,porosity_at_iy,total_volume_material_at_iy
0.00063,7.5e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.4500000000000007e-09,0.007246376811594203,1.7250000000000005e-14
0.000635,7.5e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.6500000000000004e-09,0.02054794520547945,1.8250000000000004e-14
0.00064,8e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.6500000000000004e-09,0.02054794520547945,1.8250000000000004e-14
0.000645,8e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.6250000000000006e-09,0.0,1.8125000000000005e-14
0.00065,8.5e-05,5.9999999999999995e-05,4.499999999999998e-05,3.900000000000001e-09,0.02564102564102564,1.9500000000000005e-14
0.000655,8.5e-05,5.9999999999999995e-05,4.499999999999998e-05,3.975000000000001e-09,0.025157232704402514,1.9875000000000007e-14
0.00066,8e-05,6.499999999999998e-05,4.9999999999999996e-05,3.950000000000001e-09,0.012658227848101267,1.9750000000000004e-14
0.000665,8e-05,6.499999999999998e-05,4.9999999999999996e-05,3.975000000000001e-09,0.012578616352201257,1.9875000000000007e-14
0.00067,8e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.950000000000001e-09,0.04430379746835443,1.9750000000000004e-14
0.000675,8e-05,5.9999999999999995e-05,4.499999999999998e-05,3.775000000000001e-09,0.05960264900662252,1.8875000000000005e-14
0.00068,7.5e-05,5.499999999999998e-05,4.499999999999998e-05,3.4000000000000007e-09,0.029411764705882356,1.7000000000000003e-14
0.000685,7.5e-05,5.499999999999998e-05,4.499999999999998e-05,3.2250000000000003e-09,0.015503875968992248,1.6125000000000004e-14
0.00069,7e-05,5.499999999999998e-05,4.9999999999999996e-05,3.1000000000000005e-09,0.008064516129032258,1.5500000000000003e-14
0.000695,7e-05,4.999999999999998e-05,4.4999999999999996e-05,2.8500000000000003e-09,0.01754385964912281,1.4250000000000002e-14
0.0007,6e-05,4.999999999999998e-05,4.4999999999999996e-05,2.3750000000000006e-09,0.010526315789473684,1.1875000000000003e-14
